,CH1,CH2,CH3
Second,Volt,Volt,Volt
-3.95120e-05,7.80e+00,1.40e+00,4.00e-02, 
-3.94720e-05,7.80e+00,1.20e+00,4.20e-02, 
-3.94320e-05,7.60e+00,1.20e+00,6.00e-02, 
-3.93920e-05,7.80e+00,1.20e+00,4.60e-02, 
-3.93520e-05,7.80e+00,1.20e+00,5.80e-02, 
-3.93120e-05,7.80e+00,1.20e+00,5.80e-02, 
-3.92720e-05,7.60e+00,1.20e+00,4.80e-02, 
-3.92320e-05,7.60e+00,1.20e+00,5.60e-02, 
-3.91920e-05,7.60e+00,1.20e+00,4.80e-02, 
-3.91520e-05,7.60e+00,1.20e+00,5.00e-02, 
-3.91120e-05,7.40e+00,1.20e+00,5.60e-02, 
-3.90720e-05,7.60e+00,1.20e+00,5.00e-02, 
-3.90320e-05,7.40e+00,1.20e+00,5.40e-02, 
-3.89920e-05,7.40e+00,1.20e+00,5.20e-02, 
-3.89520e-05,7.20e+00,1.20e+00,5.40e-02, 
-3.89120e-05,7.20e+00,1.20e+00,5.20e-02, 
-3.88720e-05,7.40e+00,1.20e+00,5.40e-02, 
-3.88320e-05,7.40e+00,1.20e+00,5.20e-02, 
-3.87920e-05,7.20e+00,1.20e+00,5.40e-02, 
-3.87520e-05,7.20e+00,1.20e+00,5.00e-02, 
-3.87120e-05,7.00e+00,1.40e+00,5.40e-02, 
-3.86720e-05,7.20e+00,1.20e+00,5.40e-02, 
-3.86320e-05,7.00e+00,1.20e+00,5.00e-02, 
-3.85920e-05,7.00e+00,1.20e+00,5.40e-02, 
-3.85520e-05,7.00e+00,1.20e+00,5.20e-02, 
-3.85120e-05,7.00e+00,1.20e+00,5.20e-02, 
-3.84720e-05,7.20e+00,1.40e+00,5.40e-02, 
-3.84320e-05,7.00e+00,1.20e+00,5.40e-02, 
-3.83920e-05,7.00e+00,1.40e+00,5.20e-02, 
-3.83520e-05,7.00e+00,1.20e+00,5.20e-02, 
-3.83120e-05,6.80e+00,1.20e+00,5.40e-02, 
-3.82720e-05,7.00e+00,1.20e+00,5.20e-02, 
-3.82320e-05,6.80e+00,1.20e+00,5.20e-02, 
-3.81920e-05,7.00e+00,1.20e+00,5.40e-02, 
-3.81520e-05,6.80e+00,1.20e+00,5.20e-02, 
-3.81120e-05,6.80e+00,1.20e+00,5.20e-02, 
-3.80720e-05,7.00e+00,1.40e+00,5.40e-02, 
-3.80320e-05,6.80e+00,1.20e+00,5.20e-02, 
-3.79920e-05,6.80e+00,1.20e+00,5.40e-02, 
-3.79520e-05,6.60e+00,1.20e+00,5.20e-02, 
-3.79120e-05,6.80e+00,1.40e+00,5.40e-02, 
-3.78720e-05,6.60e+00,1.20e+00,5.00e-02, 
-3.78320e-05,6.80e+00,1.20e+00,5.40e-02, 
-3.77920e-05,6.40e+00,1.20e+00,5.40e-02, 
-3.77520e-05,6.60e+00,1.40e+00,5.20e-02, 
-3.77120e-05,6.60e+00,1.20e+00,5.20e-02, 
-3.76720e-05,6.40e+00,1.40e+00,5.40e-02, 
-3.76320e-05,6.40e+00,1.20e+00,5.20e-02, 
-3.75920e-05,6.40e+00,1.40e+00,5.40e-02, 
-3.75520e-05,6.40e+00,1.40e+00,5.20e-02, 
-3.75120e-05,6.40e+00,1.20e+00,5.40e-02, 
-3.74720e-05,6.40e+00,1.20e+00,5.40e-02, 
-3.74320e-05,6.20e+00,1.40e+00,5.20e-02, 
-3.73920e-05,6.40e+00,1.20e+00,5.40e-02, 
-3.73520e-05,6.20e+00,1.40e+00,5.20e-02, 
-3.73120e-05,6.40e+00,1.20e+00,5.20e-02, 
-3.72720e-05,6.20e+00,1.40e+00,5.40e-02, 
-3.72320e-05,6.40e+00,1.20e+00,5.40e-02, 
