,CH1,CH2
Second,Volt,Volt
6.68000e-03,-1.20e+00,-1.04e-02, 
6.72000e-03,-8.00e-01,-8.00e-03, 
6.76000e-03,0.00e+00,-1.52e-02, 
6.80000e-03,4.00e-01,-1.36e-02, 
6.84000e-03,1.60e+00,-8.00e-03, 
6.88000e-03,2.00e+00,-8.00e-03, 
6.92000e-03,2.80e+00,-1.52e-02, 
6.96000e-03,3.20e+00,-1.76e-02, 
7.00000e-03,4.40e+00,-6.40e-03, 
7.04000e-03,4.00e+00,-9.60e-03, 
7.08000e-03,5.60e+00,-1.52e-02, 
7.12000e-03,5.20e+00,-1.36e-02, 
7.16000e-03,6.40e+00,-7.20e-03, 
7.20000e-03,6.40e+00,-1.68e-02, 
7.24000e-03,7.60e+00,-5.60e-03, 
7.28000e-03,7.20e+00,-5.60e-03, 
7.32000e-03,8.40e+00,-1.12e-02, 
7.36000e-03,8.00e+00,-1.12e-02, 
7.40000e-03,8.80e+00,-2.40e-03, 
7.44000e-03,8.80e+00,-9.60e-03, 
7.48000e-03,9.20e+00,-4.80e-03, 
7.52000e-03,9.20e+00,-8.00e-03, 
7.56000e-03,9.20e+00,-2.40e-03, 
7.60000e-03,9.20e+00,-8.00e-03, 
7.64000e-03,8.00e+00,-8.00e-04, 
7.68000e-03,8.40e+00,-9.60e-03, 
7.72000e-03,8.00e+00,8.00e-04, 
7.76000e-03,8.00e+00,-8.80e-03, 
7.80000e-03,8.40e+00,-2.40e-03, 
7.84000e-03,8.00e+00,-8.00e-03, 
7.88000e-03,8.00e+00,8.00e-04, 
7.92000e-03,8.00e+00,8.00e-04, 
7.96000e-03,7.20e+00,-5.60e-03, 
8.00000e-03,7.20e+00,-3.20e-03, 
8.04000e-03,6.80e+00,1.60e-03, 
8.08000e-03,6.80e+00,-5.60e-03, 
8.12000e-03,6.00e+00,1.60e-03, 
8.16000e-03,6.40e+00,-4.80e-03, 
8.20000e-03,5.20e+00,3.20e-03, 
8.24000e-03,5.20e+00,4.00e-03, 
8.28000e-03,4.80e+00,-5.60e-03, 
8.32000e-03,4.80e+00,-4.00e-03, 
8.36000e-03,3.60e+00,3.20e-03, 
8.40000e-03,3.60e+00,5.60e-03, 
8.44000e-03,2.80e+00,-4.00e-03, 
8.48000e-03,2.80e+00,6.40e-03, 
8.52000e-03,2.00e+00,-8.00e-04, 
8.56000e-03,2.00e+00,-1.60e-03, 
8.60000e-03,8.00e-01,4.80e-03, 
8.64000e-03,8.00e-01,6.40e-03, 
8.68000e-03,0.00e+00,-4.00e-03, 
8.72000e-03,0.00e+00,9.60e-03, 
8.76000e-03,-8.00e-01,-4.00e-03, 
8.80000e-03,-1.20e+00,8.00e-04, 
8.84000e-03,-2.00e+00,4.00e-03, 
8.88000e-03,-2.00e+00,-1.60e-03, 
8.92000e-03,-3.20e+00,5.60e-03, 
8.96000e-03,-2.80e+00,8.80e-03, 
9.00000e-03,-3.60e+00,-2.40e-03, 
9.04000e-03,-3.60e+00,1.04e-02, 
9.08000e-03,-4.40e+00,-4.00e-03, 
9.12000e-03,-4.00e+00,4.00e-03, 
9.16000e-03,-4.80e+00,-4.80e-03, 
9.20000e-03,-5.20e+00,4.00e-03, 
