,CH1,CH2
Second,Volt,Volt
2.62000e-03,-8.80e+00,-2.16e-02, 
2.63000e-03,-8.00e+00,-1.36e-02, 
2.64000e-03,-8.00e+00,-1.92e-02, 
2.65000e-03,-7.60e+00,-1.28e-02, 
2.66000e-03,-7.60e+00,-2.24e-02, 
2.67000e-03,-6.80e+00,-1.52e-02, 
2.68000e-03,-6.80e+00,-1.68e-02, 
2.69000e-03,-6.40e+00,-2.24e-02, 
2.70000e-03,-6.40e+00,-1.60e-02, 
2.71000e-03,-5.60e+00,-2.16e-02, 
2.72000e-03,-5.60e+00,-2.24e-02, 
2.73000e-03,-4.80e+00,-1.68e-02, 
2.74000e-03,-4.80e+00,-1.52e-02, 
2.75000e-03,-4.40e+00,-2.40e-02, 
2.76000e-03,-4.80e+00,-1.68e-02, 
2.77000e-03,-3.60e+00,-2.32e-02, 
2.78000e-03,-4.00e+00,-2.24e-02, 
2.79000e-03,-3.20e+00,-1.52e-02, 
2.80000e-03,-3.20e+00,-2.24e-02, 
2.81000e-03,-2.80e+00,-1.60e-02, 
2.82000e-03,-2.40e+00,-2.00e-02, 
2.83000e-03,-2.00e+00,-1.36e-02, 
2.84000e-03,-2.00e+00,-1.44e-02, 
2.85000e-03,-1.20e+00,-2.16e-02, 
2.86000e-03,-1.20e+00,-2.16e-02, 
2.87000e-03,-8.00e-01,-1.36e-02, 
2.88000e-03,-8.00e-01,-2.00e-02, 
2.89000e-03,-4.00e-01,-1.28e-02, 
2.90000e-03,0.00e+00,-1.52e-02, 
2.91000e-03,4.00e-01,-1.92e-02, 
2.92000e-03,8.00e-01,-2.16e-02, 
2.93000e-03,1.20e+00,-1.12e-02, 
2.94000e-03,1.20e+00,-2.16e-02, 
2.95000e-03,1.60e+00,-1.36e-02, 
2.96000e-03,1.60e+00,-2.16e-02, 
2.97000e-03,2.40e+00,-1.20e-02, 
2.98000e-03,2.00e+00,-1.36e-02, 
2.99000e-03,2.80e+00,-2.24e-02, 
3.00000e-03,2.80e+00,-1.36e-02, 
3.01000e-03,3.60e+00,-2.24e-02, 
3.02000e-03,3.60e+00,-1.36e-02, 
3.03000e-03,4.00e+00,-2.08e-02, 
3.04000e-03,4.00e+00,-2.16e-02, 
3.05000e-03,4.80e+00,-1.36e-02, 
3.06000e-03,4.80e+00,-2.40e-02, 
3.07000e-03,5.20e+00,-1.52e-02, 
3.08000e-03,5.20e+00,-2.40e-02, 
3.09000e-03,6.00e+00,-1.44e-02, 
3.10000e-03,6.00e+00,-1.52e-02, 
3.11000e-03,6.40e+00,-2.40e-02, 
3.12000e-03,6.40e+00,-1.52e-02, 
3.13000e-03,7.20e+00,-2.08e-02, 
3.14000e-03,6.80e+00,-1.68e-02, 
3.15000e-03,7.60e+00,-2.32e-02, 
3.16000e-03,7.60e+00,-2.56e-02, 
3.17000e-03,8.00e+00,-1.36e-02, 
3.18000e-03,8.00e+00,-1.36e-02, 
3.19000e-03,8.40e+00,-2.16e-02, 
3.20000e-03,8.40e+00,-2.08e-02, 
3.21000e-03,9.20e+00,-1.44e-02, 
3.22000e-03,8.80e+00,-1.36e-02, 
3.23000e-03,9.60e+00,-1.92e-02, 
3.24000e-03,9.20e+00,-2.08e-02, 
3.25000e-03,1.00e+01,-1.12e-02, 
3.26000e-03,9.60e+00,-8.80e-03, 
3.27000e-03,1.08e+01,-1.60e-02, 
3.28000e-03,1.04e+01,-6.40e-03, 
3.29000e-03,1.08e+01,-1.20e-02, 
3.30000e-03,1.08e+01,-1.68e-02, 
3.31000e-03,1.12e+01,-8.00e-03, 
3.32000e-03,1.12e+01,-1.12e-02, 
3.33000e-03,1.16e+01,-1.68e-02, 
3.34000e-03,1.16e+01,-8.80e-03, 
3.35000e-03,1.20e+01,-1.76e-02, 
3.36000e-03,1.20e+01,-1.92e-02, 
3.37000e-03,1.24e+01,-9.60e-03, 
3.38000e-03,1.24e+01,-1.76e-02, 
3.39000e-03,1.28e+01,-1.12e-02, 
3.40000e-03,1.28e+01,-2.24e-02, 
3.41000e-03,1.32e+01,-1.04e-02, 
3.42000e-03,1.32e+01,-2.00e-02, 
3.43000e-03,1.36e+01,-1.36e-02, 
3.44000e-03,1.36e+01,-1.12e-02, 
3.45000e-03,1.40e+01,-2.08e-02, 
3.46000e-03,1.36e+01,-1.92e-02, 
3.47000e-03,1.44e+01,-1.20e-02, 
3.48000e-03,1.40e+01,-8.00e-03, 
3.49000e-03,1.44e+01,-1.84e-02, 
3.50000e-03,1.40e+01,-1.44e-02, 
3.51000e-03,1.48e+01,-5.60e-03, 
3.52000e-03,1.48e+01,-5.60e-03, 
3.53000e-03,1.52e+01,-1.84e-02, 
3.54000e-03,1.52e+01,-1.28e-02, 
3.55000e-03,1.48e+01,-3.20e-03, 
3.56000e-03,1.52e+01,-4.00e-03, 
3.57000e-03,1.56e+01,-8.80e-03, 
3.58000e-03,1.52e+01,-6.40e-03, 
3.59000e-03,1.56e+01,-1.04e-02, 
3.60000e-03,1.56e+01,-1.36e-02, 
3.61000e-03,1.60e+01,-5.60e-03, 
3.62000e-03,1.56e+01,-1.52e-02, 
3.63000e-03,1.60e+01,-8.80e-03, 
3.64000e-03,1.56e+01,-7.20e-03, 
3.65000e-03,1.64e+01,-1.12e-02, 
3.66000e-03,1.64e+01,-5.60e-03, 
3.67000e-03,1.60e+01,-1.28e-02, 
3.68000e-03,1.64e+01,-1.44e-02, 
3.69000e-03,1.64e+01,-5.60e-03, 
3.70000e-03,1.64e+01,-5.60e-03, 
3.71000e-03,1.64e+01,-1.44e-02, 
3.72000e-03,1.64e+01,-4.80e-03, 
3.73000e-03,1.64e+01,-1.04e-02, 
