,CH1,CH2
Second,Volt,Volt
1.60000e-03,-2.80e+01,5.60e-03, 
1.61000e-03,-2.84e+01,9.60e-03, 
1.62000e-03,-2.84e+01,4.00e-03, 
1.63000e-03,-2.92e+01,1.20e-02, 
1.64000e-03,-2.92e+01,8.00e-04, 
1.65000e-03,-2.88e+01,1.20e-02, 
1.66000e-03,-2.92e+01,8.00e-04, 
1.67000e-03,-2.96e+01,8.80e-03, 
1.68000e-03,-2.96e+01,1.04e-02, 
1.69000e-03,-3.00e+01,0.00e+00, 
1.70000e-03,-2.96e+01,7.20e-03, 
1.71000e-03,-3.04e+01,8.00e-04, 
1.72000e-03,-3.00e+01,6.40e-03, 
1.73000e-03,-3.08e+01,-1.60e-03, 
1.74000e-03,-3.08e+01,8.00e-04, 
1.75000e-03,-3.04e+01,6.40e-03, 
1.76000e-03,-3.08e+01,-2.40e-03, 
1.77000e-03,-3.08e+01,4.00e-03, 
1.78000e-03,-3.08e+01,-1.60e-03, 
1.79000e-03,-3.12e+01,4.00e-03, 
1.80000e-03,-3.08e+01,4.00e-03, 
1.81000e-03,-3.12e+01,-4.00e-03, 
1.82000e-03,-3.08e+01,-5.60e-03, 
1.83000e-03,-3.12e+01,3.20e-03, 
1.84000e-03,-3.08e+01,3.20e-03, 
1.85000e-03,-3.20e+01,-9.60e-03, 
1.86000e-03,-3.04e+01,-4.80e-03, 
1.87000e-03,-3.08e+01,2.40e-03, 
1.88000e-03,-3.08e+01,0.00e+00, 
1.89000e-03,-8.00e-01,-9.60e-03, 
1.90000e-03,3.20e+00,-2.40e-03, 
1.91000e-03,1.20e+01,-1.36e-02, 
1.92000e-03,4.40e+00,0.00e+00, 
1.93000e-03,-1.24e+01,-8.80e-03, 
1.94000e-03,-1.28e+01,1.60e-03, 
1.95000e-03,-8.00e-01,-8.80e-03, 
1.96000e-03,8.00e-01,-2.40e-03, 
1.97000e-03,-2.00e+00,-8.00e-03, 
1.98000e-03,-2.40e+00,-1.60e-03, 
1.99000e-03,-4.40e+00,-7.20e-03, 
2.00000e-03,-3.60e+00,8.00e-04, 
2.01000e-03,-2.00e+00,-8.00e-03, 
2.02000e-03,-2.00e+00,-4.80e-03, 
2.03000e-03,-1.20e+00,8.00e-04, 
2.04000e-03,-2.00e+00,-8.80e-03, 
2.05000e-03,-2.40e+00,-2.40e-03, 
2.06000e-03,-2.00e+00,8.00e-04, 
2.07000e-03,-1.60e+00,-7.20e-03, 
2.08000e-03,-1.20e+00,2.40e-03, 
2.09000e-03,-2.00e+00,-8.80e-03, 
2.10000e-03,-2.00e+00,-8.00e-04, 
2.11000e-03,-1.20e+00,-5.60e-03, 
2.12000e-03,-1.60e+00,-1.12e-02, 
2.13000e-03,-1.20e+00,-1.60e-03, 
2.14000e-03,-2.00e+00,-1.60e-03, 
2.15000e-03,-8.00e-01,-8.00e-03, 
2.16000e-03,-8.00e-01,-8.00e-03, 
2.17000e-03,-2.00e+00,1.60e-03, 
2.18000e-03,-8.00e-01,-1.12e-02, 
2.19000e-03,-1.60e+00,-8.00e-04, 
2.20000e-03,-1.20e+00,-7.20e-03, 
2.21000e-03,-8.00e-01,2.40e-03, 
2.22000e-03,-1.20e+00,8.00e-04, 
2.23000e-03,-8.00e-01,-7.20e-03, 
2.24000e-03,-8.00e-01,1.60e-03, 
2.25000e-03,-1.20e+00,-9.60e-03, 
2.26000e-03,-8.00e-01,-8.00e-04, 
2.27000e-03,-1.20e+00,-8.00e-03, 
2.28000e-03,-8.00e-01,8.00e-04, 
2.29000e-03,-8.00e-01,-5.60e-03, 
2.30000e-03,-4.00e-01,8.00e-04, 
2.31000e-03,-1.20e+00,-8.00e-03, 
2.32000e-03,-8.00e-01,0.00e+00, 
2.33000e-03,-1.20e+00,-8.80e-03, 
2.34000e-03,-8.00e-01,-1.12e-02, 
2.35000e-03,-4.00e-01,8.00e-04, 
2.36000e-03,-4.00e-01,-8.00e-04, 
2.37000e-03,-8.00e-01,-7.20e-03, 
2.38000e-03,-8.00e-01,1.60e-03, 
2.39000e-03,-8.00e-01,-9.60e-03, 
2.40000e-03,-8.00e-01,-8.00e-03, 
2.41000e-03,0.00e+00,0.00e+00, 
2.42000e-03,-8.00e-01,-8.00e-03, 
2.43000e-03,-4.00e-01,8.00e-04, 
2.44000e-03,-8.00e-01,-8.80e-03, 
2.45000e-03,-8.00e-01,2.40e-03, 
2.46000e-03,-8.00e-01,-8.00e-03, 
2.47000e-03,0.00e+00,8.00e-04, 
2.48000e-03,-8.00e-01,8.00e-04, 
2.49000e-03,0.00e+00,-8.00e-03, 
2.50000e-03,-8.00e-01,-8.00e-03, 
2.51000e-03,-8.00e-01,1.60e-03, 
2.52000e-03,-8.00e-01,-9.60e-03, 
2.53000e-03,-4.00e-01,8.00e-04, 
2.54000e-03,-8.00e-01,-2.40e-03, 
2.55000e-03,-4.00e-01,-8.00e-03, 
2.56000e-03,-8.00e-01,8.00e-04, 
2.57000e-03,-4.00e-01,-1.12e-02, 
2.58000e-03,-8.00e-01,-5.60e-03, 
2.59000e-03,0.00e+00,-1.60e-03, 
2.60000e-03,-8.00e-01,-7.20e-03, 
2.61000e-03,0.00e+00,8.00e-04, 
2.62000e-03,-4.00e-01,8.00e-04, 
2.63000e-03,-8.00e-01,-8.00e-03, 
2.64000e-03,-8.00e-01,-7.20e-03, 
2.65000e-03,-4.00e-01,8.00e-04, 
2.66000e-03,-8.00e-01,-8.80e-03, 
2.67000e-03,0.00e+00,8.00e-04, 
2.68000e-03,-4.00e-01,3.20e-03, 
2.69000e-03,-8.00e-01,-8.00e-03, 
2.70000e-03,-8.00e-01,-7.20e-03, 
2.71000e-03,0.00e+00,4.80e-03, 
2.72000e-03,0.00e+00,2.40e-03, 
2.73000e-03,-4.00e-01,-5.60e-03, 
2.74000e-03,0.00e+00,-8.00e-04, 
2.75000e-03,-8.00e-01,-9.60e-03, 
